RequestId SentTime ProducerRecievedTime ProducerUpdateTime EnteredKafkaTime ExitedKafkaTime ConsumerUpdateTime
100 1716571589960 1716571589967 1716571589982 1716571590007 1716571590010 1716571590028
101 1716571590386 1716571590395 1716571590411 1716571590441 1716571590450 1716571590454
102 1716571590815 1716571590822 1716571590838 1716571590869 1716571590871 1716571590879
103 1716571591242 1716571591248 1716571591264 1716571591283 1716571591292 1716571591299
104 1716571591669 1716571591674 1716571591686 1716571591704 1716571591706 1716571591719
105 1716571592088 1716571592095 1716571592110 1716571592134 1716571592144 1716571592162
106 1716571592515 1716571592522 1716571592535 1716571592552 1716571592553 1716571592567
107 1716571592937 1716571592944 1716571592959 1716571592990 1716571593002 1716571593014
108 1716571593364 1716571593371 1716571593386 1716571593415 1716571593426 1716571593439
109 1716571593791 1716571593797 1716571593813 1716571593841 1716571593849 1716571593863
110 1716571594217 1716571594224 1716571594239 1716571594267 1716571594271 1716571594281
111 1716571594643 1716571594650 1716571594666 1716571594691 1716571594695 1716571594707
112 1716571595069 1716571595076 1716571595084 1716571595116 1716571595120 1716571595128
113 1716571595488 1716571595495 1716571595510 1716571595536 1716571595540 1716571595560
114 1716571595914 1716571595920 1716571595934 1716571595966 1716571595970 1716571595980
115 1716571596338 1716571596345 1716571596360 1716571596391 1716571596395 1716571596404
116 1716571596764 1716571596771 1716571596786 1716571596808 1716571596815 1716571596826
117 1716571597190 1716571597196 1716571597203 1716571597224 1716571597229 1716571597238
118 1716571597608 1716571597614 1716571597623 1716571597644 1716571597649 1716571597660
119 1716571598027 1716571598034 1716571598041 1716571598065 1716571598068 1716571598081
120 1716571598445 1716571598447 1716571598457 1716571598465 1716571598466 1716571598471
121 1716571598859 1716571598865 1716571598881 1716571598912 1716571598915 1716571598929
122 1716571599285 1716571599292 1716571599308 1716571599337 1716571599339 1716571599349
123 1716571599712 1716571599718 1716571599734 1716571599764 1716571599768 1716571599777
124 1716571600137 1716571600140 1716571600150 1716571600161 1716571600163 1716571600167
125 1716571600552 1716571600558 1716571600574 1716571600600 1716571600602 1716571600608
126 1716571600978 1716571600984 1716571601000 1716571601032 1716571601040 1716571601046
127 1716571601404 1716571601407 1716571601423 1716571601453 1716571601460 1716571601470
128 1716571601828 1716571601835 1716571601851 1716571601876 1716571601887 1716571601904
129 1716571602255 1716571602261 1716571602277 1716571602305 1716571602313 1716571602322
130 1716571602682 1716571602688 1716571602704 1716571602727 1716571602736 1716571602746
131 1716571603108 1716571603114 1716571603130 1716571603160 1716571603162 1716571603176
132 1716571603533 1716571603540 1716571603556 1716571603582 1716571603587 1716571603598
133 1716571603960 1716571603967 1716571603982 1716571604006 1716571604010 1716571604022
134 1716571604387 1716571604393 1716571604409 1716571604434 1716571604436 1716571604448
135 1716571604813 1716571604819 1716571604835 1716571604859 1716571604862 1716571604874
136 1716571605240 1716571605247 1716571605258 1716571605291 1716571605301 1716571605320
137 1716571605662 1716571605669 1716571605683 1716571605705 1716571605709 1716571605721
138 1716571606087 1716571606093 1716571606108 1716571606140 1716571606152 1716571606169
139 1716571606512 1716571606519 1716571606533 1716571606549 1716571606551 1716571606557
140 1716571606937 1716571606944 1716571606959 1716571606985 1716571606990 1716571606995
141 1716571607363 1716571607369 1716571607385 1716571607410 1716571607413 1716571607430
142 1716571607790 1716571607796 1716571607811 1716571607843 1716571607857 1716571607868
143 1716571608215 1716571608221 1716571608237 1716571608260 1716571608264 1716571608278
144 1716571608641 1716571608648 1716571608663 1716571608688 1716571608692 1716571608709
145 1716571609067 1716571609074 1716571609089 1716571609112 1716571609116 1716571609130
146 1716571609494 1716571609498 1716571609513 1716571609537 1716571609551 1716571609567
147 1716571609917 1716571609924 1716571609939 1716571609971 1716571609975 1716571609986
148 1716571610343 1716571610349 1716571610369 1716571610395 1716571610401 1716571610423
149 1716571610773 1716571610779 1716571610795 1716571610822 1716571610827 1716571610835
150 1716571611199 1716571611206 1716571611221 1716571611247 1716571611249 1716571611267
151 1716571611625 1716571611632 1716571611648 1716571611672 1716571611675 1716571611690
152 1716571612052 1716571612058 1716571612074 1716571612097 1716571612100 1716571612113
153 1716571612478 1716571612485 1716571612500 1716571612529 1716571612530 1716571612540
154 1716571612904 1716571612911 1716571612926 1716571612949 1716571612953 1716571612968
155 1716571613331 1716571613337 1716571613353 1716571613384 1716571613386 1716571613402
156 1716571613757 1716571613763 1716571613779 1716571613809 1716571613812 1716571613831
157 1716571614182 1716571614189 1716571614205 1716571614224 1716571614230 1716571614242
158 1716571614608 1716571614615 1716571614630 1716571614660 1716571614668 1716571614680
159 1716571615033 1716571615040 1716571615048 1716571615072 1716571615075 1716571615090
160 1716571615452 1716571615455 1716571615467 1716571615491 1716571615494 1716571615512
161 1716571615870 1716571615877 1716571615893 1716571615923 1716571615926 1716571615942
162 1716571616297 1716571616304 1716571616320 1716571616343 1716571616347 1716571616360
163 1716571616724 1716571616731 1716571616746 1716571616771 1716571616774 1716571616786
164 1716571617150 1716571617152 1716571617155 1716571617177 1716571617180 1716571617190
165 1716571617557 1716571617559 1716571617571 1716571617595 1716571617599 1716571617614
166 1716571617974 1716571617980 1716571617996 1716571618026 1716571618031 1716571618046
167 1716571618400 1716571618407 1716571618422 1716571618445 1716571618448 1716571618456
168 1716571618824 1716571618831 1716571618846 1716571618873 1716571618876 1716571618893
169 1716571619250 1716571619257 1716571619272 1716571619299 1716571619303 1716571619320
170 1716571619676 1716571619682 1716571619698 1716571619727 1716571619729 1716571619741
171 1716571620103 1716571620109 1716571620125 1716571620147 1716571620151 1716571620161
172 1716571620529 1716571620536 1716571620551 1716571620579 1716571620592 1716571620609
173 1716571620955 1716571620961 1716571620976 1716571621003 1716571621013 1716571621029
174 1716571621380 1716571621386 1716571621402 1716571621425 1716571621432 1716571621439
175 1716571621806 1716571621812 1716571621828 1716571621851 1716571621855 1716571621868
176 1716571622233 1716571622239 1716571622254 1716571622283 1716571622287 1716571622300
177 1716571622659 1716571622665 1716571622681 1716571622711 1716571622712 1716571622724
178 1716571623085 1716571623091 1716571623106 1716571623135 1716571623138 1716571623155
179 1716571623510 1716571623517 1716571623533 1716571623560 1716571623563 1716571623576
180 1716571623936 1716571623938 1716571623949 1716571623955 1716571623958 1716571623970
181 1716571624351 1716571624359 1716571624375 1716571624397 1716571624400 1716571624412
182 1716571624779 1716571624786 1716571624801 1716571624828 1716571624831 1716571624847
183 1716571625206 1716571625212 1716571625228 1716571625259 1716571625261 1716571625274
184 1716571625632 1716571625638 1716571625654 1716571625676 1716571625680 1716571625695
185 1716571626059 1716571626065 1716571626081 1716571626102 1716571626103 1716571626114
186 1716571626485 1716571626491 1716571626507 1716571626529 1716571626530 1716571626537
187 1716571626911 1716571626917 1716571626933 1716571626955 1716571626957 1716571626972
188 1716571627338 1716571627344 1716571627360 1716571627384 1716571627387 1716571627400
189 1716571627764 1716571627770 1716571627786 1716571627811 1716571627812 1716571627819
190 1716571628190 1716571628197 1716571628213 1716571628234 1716571628238 1716571628250
191 1716571628618 1716571628625 1716571628640 1716571628662 1716571628664 1716571628670
192 1716571629044 1716571629051 1716571629063 1716571629071 1716571629082 1716571629095
193 1716571629465 1716571629471 1716571629487 1716571629513 1716571629518 1716571629532
194 1716571629891 1716571629897 1716571629913 1716571629936 1716571629939 1716571629953
195 1716571630318 1716571630324 1716571630340 1716571630371 1716571630385 1716571630400
196 1716571630744 1716571630750 1716571630766 1716571630790 1716571630793 1716571630811
197 1716571631170 1716571631176 1716571631191 1716571631214 1716571631217 1716571631234
198 1716571631595 1716571631601 1716571631616 1716571631646 1716571631648 1716571631664
199 1716571632020 1716571632026 1716571632034 1716571632058 1716571632069 1716571632082
200 1716571632438 1716571632444 1716571632459 1716571632480 1716571632483 1716571632492
201 1716571632863 1716571632870 1716571632886 1716571632910 1716571632914 1716571632930
202 1716571633290 1716571633295 1716571633310 1716571633330 1716571633332 1716571633341
203 1716571633714 1716571633717 1716571633728 1716571633734 1716571633735 1716571633743
204 1716571634129 1716571634136 1716571634151 1716571634178 1716571634181 1716571634194
205 1716571634554 1716571634561 1716571634576 1716571634595 1716571634599 1716571634616
206 1716571634981 1716571634988 1716571634995 1716571635025 1716571635037 1716571635052
207 1716571635399 1716571635406 1716571635422 1716571635447 1716571635456 1716571635464
208 1716571635825 1716571635831 1716571635847 1716571635876 1716571635879 1716571635895
209 1716571636251 1716571636257 1716571636272 1716571636300 1716571636305 1716571636318
210 1716571636676 1716571636682 1716571636698 1716571636721 1716571636728 1716571636738
211 1716571637102 1716571637105 1716571637108 1716571637133 1716571637134 1716571637140
212 1716571637509 1716571637516 1716571637531 1716571637559 1716571637561 1716571637571
213 1716571637936 1716571637942 1716571637958 1716571637985 1716571637987 1716571637996
214 1716571638362 1716571638369 1716571638384 1716571638416 1716571638422 1716571638436
215 1716571638788 1716571638794 1716571638810 1716571638832 1716571638838 1716571638847
216 1716571639214 1716571639220 1716571639235 1716571639263 1716571639266 1716571639280
217 1716571639639 1716571639646 1716571639654 1716571639685 1716571639687 1716571639704
218 1716571640058 1716571640064 1716571640071 1716571640097 1716571640116 1716571640123
219 1716571640475 1716571640482 1716571640497 1716571640528 1716571640540 1716571640556
220 1716571640901 1716571640907 1716571640922 1716571640951 1716571640961 1716571640970
221 1716571641326 1716571641332 1716571641347 1716571641365 1716571641367 1716571641384
222 1716571641750 1716571641757 1716571641772 1716571641799 1716571641810 1716571641819
223 1716571642176 1716571642183 1716571642198 1716571642223 1716571642229 1716571642239
224 1716571642602 1716571642609 1716571642617 1716571642649 1716571642652 1716571642664
225 1716571643021 1716571643028 1716571643043 1716571643065 1716571643067 1716571643084
226 1716571643447 1716571643453 1716571643469 1716571643492 1716571643494 1716571643504
227 1716571643873 1716571643880 1716571643888 1716571643919 1716571643934 1716571643947
228 1716571644292 1716571644299 1716571644314 1716571644341 1716571644349 1716571644359
229 1716571644718 1716571644724 1716571644739 1716571644760 1716571644769 1716571644780
230 1716571645143 1716571645149 1716571645164 1716571645193 1716571645195 1716571645211
231 1716571645569 1716571645575 1716571645591 1716571645616 1716571645619 1716571645636
232 1716571645995 1716571646001 1716571646016 1716571646043 1716571646046 1716571646063
233 1716571646420 1716571646427 1716571646442 1716571646469 1716571646471 1716571646484
234 1716571646845 1716571646851 1716571646867 1716571646887 1716571646890 1716571646906
235 1716571647271 1716571647278 1716571647294 1716571647317 1716571647319 1716571647336
236 1716571647699 1716571647705 1716571647720 1716571647749 1716571647759 1716571647768
