RequestId SentTime ProducerRecievedTime ProducerUpdateTime EnteredKafkaTime ExitedKafkaTime ConsumerUpdateTime
0 1717144249605 1717144249608 1717144249614 1717144249712 1717144249769 1717144249802
1 1717144250015 1717144250024 1717144250042 1717144250158 1717144250226 1717144250323
2 1717144250447 1717144250458 1717144250476 1717144250501 1717144250555 1717144250639
3 1717144250882 1717144250890 1717144250908 1717144250938 1717144250994 1717144251055
4 1717144251313 1717144251317 1717144251329 1717144251376 1717144251434 1717144251471
5 1717144251731 1717144251737 1717144251754 1717144251799 1717144251876 1717144251887
6 1717144252158 1717144252169 1717144252186 1717144252223 1717144252324 1717144252406
7 1717144252590 1717144252599 1717144252615 1717144252643 1717144252665 1717144252715
8 1717144253017 1717144253025 1717144253043 1717144253088 1717144253106 1717144253131
9 1717144253448 1717144253457 1717144253475 1717144253529 1717144253553 1717144253642
10 1717144253879 1717144253882 1717144253895 1717144253948 1717144253993 1717144254049
11 1717144254297 1717144254305 1717144254319 1717144254389 1717144254440 1717144254465
12 1717144254724 1717144254731 1717144254741 1717144254832 1717144254888 1717144254985
13 1717144255145 1717144255150 1717144255156 1717144255277 1717144255327 1717144255400
14 1717144255558 1717144255565 1717144255575 1717144255620 1717144255660 1717144255716
15 1717144255979 1717144255987 1717144255997 1717144256061 1717144256104 1717144256134
16 1717144256401 1717144256409 1717144256419 1717144256502 1717144256550 1717144256655
17 1717144256824 1717144256831 1717144256841 1717144256945 1717144256991 1717144257072
18 1717144257246 1717144257253 1717144257263 1717144257391 1717144257430 1717144257484
19 1717144257666 1717144257669 1717144257673 1717144257719 1717144257756 1717144257789
20 1717144258075 1717144258080 1717144258085 1717144258139 1717144258195 1717144258305
21 1717144258487 1717144258489 1717144258492 1717144258580 1717144258634 1717144258720
22 1717144258894 1717144258898 1717144258902 1717144259020 1717144259073 1717144259134
23 1717144259305 1717144259314 1717144259324 1717144259355 1717144259401 1717144259452
24 1717144259729 1717144259732 1717144259736 1717144259791 1717144259844 1717144259868
