RequestId SentTime ProducerRecievedTime ProducerUpdateTime EnteredKafkaTime ExitedKafkaTime ConsumerUpdateTime
100 1716575148824 1716575148832 1716575148846 1716575148868 1716575148872 1716575148876
101 1716575149276 1716575149284 1716575149298 1716575149321 1716575149324 1716575149328
102 1716575149730 1716575149737 1716575149750 1716575149782 1716575149785 1716575149788
103 1716575150188 1716575150195 1716575150208 1716575150231 1716575150235 1716575150239
104 1716575150639 1716575150647 1716575150660 1716575150684 1716575150689 1716575150693
105 1716575151092 1716575151099 1716575151112 1716575151137 1716575151140 1716575151145
106 1716575151544 1716575151551 1716575151564 1716575151587 1716575151590 1716575151594
107 1716575151994 1716575152000 1716575152011 1716575152021 1716575152023 1716575152025
108 1716575152425 1716575152433 1716575152447 1716575152471 1716575152476 1716575152480
109 1716575152879 1716575152887 1716575152900 1716575152923 1716575152928 1716575152932
110 1716575153331 1716575153339 1716575153352 1716575153374 1716575153377 1716575153379
111 1716575153779 1716575153787 1716575153800 1716575153816 1716575153817 1716575153819
112 1716575154219 1716575154226 1716575154239 1716575154261 1716575154265 1716575154269
113 1716575154668 1716575154676 1716575154689 1716575154718 1716575154722 1716575154726
114 1716575155125 1716575155132 1716575155144 1716575155167 1716575155170 1716575155174
115 1716575155574 1716575155578 1716575155590 1716575155614 1716575155618 1716575155622
116 1716575156021 1716575156028 1716575156042 1716575156063 1716575156065 1716575156067
117 1716575156468 1716575156474 1716575156485 1716575156502 1716575156503 1716575156505
118 1716575156906 1716575156913 1716575156927 1716575156950 1716575156953 1716575156958
119 1716575157358 1716575157365 1716575157381 1716575157403 1716575157407 1716575157410
120 1716575157811 1716575157816 1716575157830 1716575157848 1716575157850 1716575157851
121 1716575158251 1716575158259 1716575158273 1716575158295 1716575158300 1716575158304
122 1716575158703 1716575158711 1716575158724 1716575158748 1716575158753 1716575158757
123 1716575159156 1716575159161 1716575159165 1716575159175 1716575159178 1716575159180
124 1716575159580 1716575159588 1716575159593 1716575159616 1716575159621 1716575159624
125 1716575160023 1716575160031 1716575160044 1716575160064 1716575160066 1716575160068
126 1716575160467 1716575160475 1716575160490 1716575160514 1716575160519 1716575160524
127 1716575160921 1716575160926 1716575160930 1716575160952 1716575160957 1716575160959
128 1716575161358 1716575161366 1716575161379 1716575161404 1716575161408 1716575161411
129 1716575161811 1716575161815 1716575161826 1716575161839 1716575161841 1716575161844
130 1716575162244 1716575162251 1716575162264 1716575162285 1716575162287 1716575162290
131 1716575162690 1716575162697 1716575162709 1716575162730 1716575162734 1716575162738
132 1716575163138 1716575163146 1716575163160 1716575163184 1716575163188 1716575163192
133 1716575163592 1716575163600 1716575163614 1716575163628 1716575163629 1716575163630
134 1716575164031 1716575164038 1716575164051 1716575164075 1716575164078 1716575164082
135 1716575164482 1716575164489 1716575164502 1716575164525 1716575164530 1716575164534
136 1716575164933 1716575164941 1716575164955 1716575164984 1716575164987 1716575164990
137 1716575165391 1716575165398 1716575165411 1716575165433 1716575165437 1716575165441
138 1716575165842 1716575165850 1716575165864 1716575165885 1716575165889 1716575165892
139 1716575166292 1716575166299 1716575166312 1716575166333 1716575166338 1716575166341
140 1716575166740 1716575166746 1716575166758 1716575166772 1716575166774 1716575166777
141 1716575167177 1716575167184 1716575167188 1716575167209 1716575167214 1716575167219
142 1716575167616 1716575167623 1716575167633 1716575167648 1716575167651 1716575167655
143 1716575168054 1716575168062 1716575168075 1716575168096 1716575168099 1716575168103
144 1716575168503 1716575168510 1716575168524 1716575168545 1716575168548 1716575168552
145 1716575168951 1716575168959 1716575168973 1716575168995 1716575168998 1716575169002
146 1716575169402 1716575169409 1716575169422 1716575169442 1716575169446 1716575169450
147 1716575169849 1716575169857 1716575169871 1716575169891 1716575169897 1716575169901
148 1716575170306 1716575170313 1716575170327 1716575170349 1716575170353 1716575170357
149 1716575170757 1716575170765 1716575170778 1716575170799 1716575170802 1716575170807
150 1716575171207 1716575171213 1716575171226 1716575171247 1716575171251 1716575171255
151 1716575171655 1716575171661 1716575171674 1716575171696 1716575171699 1716575171704
152 1716575172103 1716575172107 1716575172117 1716575172128 1716575172133 1716575172137
153 1716575172535 1716575172543 1716575172556 1716575172578 1716575172582 1716575172586
154 1716575172986 1716575172993 1716575173006 1716575173028 1716575173031 1716575173035
155 1716575173435 1716575173438 1716575173448 1716575173468 1716575173471 1716575173475
156 1716575173875 1716575173880 1716575173891 1716575173906 1716575173909 1716575173913
157 1716575174313 1716575174317 1716575174320 1716575174330 1716575174331 1716575174333
158 1716575174733 1716575174740 1716575174746 1716575174769 1716575174774 1716575174777
159 1716575175176 1716575175183 1716575175194 1716575175222 1716575175225 1716575175230
160 1716575175629 1716575175637 1716575175651 1716575175671 1716575175675 1716575175679
161 1716575176078 1716575176086 1716575176099 1716575176121 1716575176125 1716575176128
162 1716575176527 1716575176533 1716575176546 1716575176565 1716575176567 1716575176569
163 1716575176969 1716575176976 1716575176990 1716575177014 1716575177017 1716575177021
164 1716575177421 1716575177427 1716575177440 1716575177460 1716575177464 1716575177468
165 1716575177867 1716575177874 1716575177888 1716575177910 1716575177914 1716575177917
166 1716575178316 1716575178321 1716575178331 1716575178347 1716575178350 1716575178355
167 1716575178754 1716575178761 1716575178775 1716575178786 1716575178787 1716575178788
168 1716575179189 1716575179196 1716575179206 1716575179229 1716575179232 1716575179236
169 1716575179636 1716575179642 1716575179655 1716575179679 1716575179682 1716575179686
170 1716575180085 1716575180094 1716575180107 1716575180135 1716575180137 1716575180139
171 1716575180540 1716575180547 1716575180561 1716575180583 1716575180586 1716575180590
172 1716575180990 1716575180997 1716575181003 1716575181023 1716575181027 1716575181032
173 1716575181430 1716575181437 1716575181450 1716575181471 1716575181474 1716575181478
174 1716575181878 1716575181886 1716575181898 1716575181921 1716575181925 1716575181928
175 1716575182329 1716575182337 1716575182350 1716575182374 1716575182378 1716575182381
176 1716575182781 1716575182787 1716575182800 1716575182808 1716575182810 1716575182811
177 1716575183212 1716575183220 1716575183234 1716575183256 1716575183261 1716575183265
178 1716575183663 1716575183670 1716575183683 1716575183703 1716575183707 1716575183710
179 1716575184110 1716575184113 1716575184123 1716575184130 1716575184131 1716575184133
180 1716575184533 1716575184539 1716575184552 1716575184561 1716575184563 1716575184565
181 1716575184965 1716575184972 1716575184985 1716575185006 1716575185010 1716575185013
182 1716575185418 1716575185425 1716575185438 1716575185461 1716575185464 1716575185468
183 1716575185869 1716575185877 1716575185891 1716575185908 1716575185910 1716575185912
184 1716575186312 1716575186319 1716575186333 1716575186353 1716575186355 1716575186356
185 1716575186758 1716575186763 1716575186774 1716575186782 1716575186783 1716575186784
186 1716575187185 1716575187192 1716575187196 1716575187218 1716575187221 1716575187223
187 1716575187622 1716575187630 1716575187644 1716575187666 1716575187671 1716575187675
188 1716575188073 1716575188080 1716575188092 1716575188113 1716575188117 1716575188121
189 1716575188520 1716575188527 1716575188540 1716575188561 1716575188564 1716575188568
190 1716575188969 1716575188977 1716575188990 1716575189012 1716575189015 1716575189019
191 1716575189420 1716575189428 1716575189433 1716575189454 1716575189457 1716575189459
192 1716575189859 1716575189865 1716575189876 1716575189888 1716575189890 1716575189891
193 1716575190292 1716575190300 1716575190313 1716575190341 1716575190344 1716575190347
194 1716575190746 1716575190753 1716575190765 1716575190786 1716575190790 1716575190794
195 1716575191194 1716575191198 1716575191209 1716575191221 1716575191224 1716575191226
196 1716575191626 1716575191633 1716575191643 1716575191660 1716575191663 1716575191667
197 1716575192067 1716575192075 1716575192088 1716575192107 1716575192110 1716575192114
198 1716575192515 1716575192516 1716575192526 1716575192532 1716575192533 1716575192535
199 1716575192935 1716575192942 1716575192956 1716575192975 1716575192978 1716575192983
200 1716575193383 1716575193391 1716575193404 1716575193424 1716575193426 1716575193430
201 1716575193831 1716575193838 1716575193851 1716575193867 1716575193868 1716575193870
202 1716575194272 1716575194278 1716575194289 1716575194297 1716575194298 1716575194300
203 1716575194700 1716575194707 1716575194720 1716575194741 1716575194743 1716575194747
204 1716575195148 1716575195150 1716575195160 1716575195169 1716575195170 1716575195171
205 1716575195571 1716575195579 1716575195592 1716575195612 1716575195615 1716575195619
206 1716575196019 1716575196026 1716575196039 1716575196060 1716575196062 1716575196066
207 1716575196466 1716575196474 1716575196488 1716575196508 1716575196513 1716575196517
208 1716575196916 1716575196923 1716575196937 1716575196958 1716575196961 1716575196965
209 1716575197365 1716575197372 1716575197383 1716575197399 1716575197403 1716575197406
210 1716575197806 1716575197814 1716575197827 1716575197848 1716575197851 1716575197854
211 1716575198255 1716575198263 1716575198275 1716575198296 1716575198299 1716575198303
212 1716575198703 1716575198710 1716575198723 1716575198743 1716575198745 1716575198749
213 1716575199149 1716575199157 1716575199170 1716575199191 1716575199193 1716575199195
214 1716575199597 1716575199601 1716575199612 1716575199633 1716575199636 1716575199640
215 1716575200040 1716575200047 1716575200059 1716575200080 1716575200083 1716575200087
216 1716575200487 1716575200493 1716575200510 1716575200530 1716575200533 1716575200537
217 1716575200937 1716575200943 1716575200945 1716575200955 1716575200956 1716575200958
218 1716575201359 1716575201366 1716575201380 1716575201399 1716575201401 1716575201405
219 1716575201805 1716575201809 1716575201821 1716575201840 1716575201843 1716575201847
220 1716575202247 1716575202252 1716575202263 1716575202275 1716575202277 1716575202279
221 1716575202680 1716575202687 1716575202699 1716575202721 1716575202724 1716575202726
222 1716575203127 1716575203134 1716575203146 1716575203166 1716575203168 1716575203172
223 1716575203572 1716575203580 1716575203592 1716575203599 1716575203600 1716575203601
224 1716575204002 1716575204008 1716575204021 1716575204028 1716575204029 1716575204031
225 1716575204431 1716575204438 1716575204442 1716575204462 1716575204465 1716575204468
226 1716575204869 1716575204876 1716575204881 1716575204902 1716575204905 1716575204909
227 1716575205309 1716575205313 1716575205324 1716575205344 1716575205346 1716575205350
228 1716575205751 1716575205758 1716575205771 1716575205780 1716575205781 1716575205782
229 1716575206183 1716575206190 1716575206204 1716575206226 1716575206229 1716575206233
230 1716575206633 1716575206640 1716575206653 1716575206672 1716575206675 1716575206680
231 1716575207079 1716575207083 1716575207085 1716575207092 1716575207093 1716575207094
232 1716575207495 1716575207502 1716575207515 1716575207536 1716575207539 1716575207543
233 1716575207946 1716575207952 1716575207963 1716575207979 1716575207982 1716575207985
234 1716575208385 1716575208392 1716575208405 1716575208427 1716575208429 1716575208433
235 1716575208834 1716575208842 1716575208855 1716575208874 1716575208877 1716575208881
236 1716575209281 1716575209287 1716575209300 1716575209320 1716575209322 1716575209326
237 1716575209727 1716575209734 1716575209747 1716575209769 1716575209772 1716575209775
238 1716575210175 1716575210182 1716575210186 1716575210199 1716575210201 1716575210204
239 1716575210605 1716575210609 1716575210620 1716575210639 1716575210642 1716575210646
240 1716575211046 1716575211053 1716575211071 1716575211092 1716575211095 1716575211097
241 1716575211498 1716575211506 1716575211519 1716575211539 1716575211542 1716575211545
242 1716575211946 1716575211951 1716575211961 1716575211971 1716575211973 1716575211975
243 1716575212375 1716575212383 1716575212396 1716575212416 1716575212418 1716575212422
244 1716575212822 1716575212829 1716575212842 1716575212859 1716575212861 1716575212863
245 1716575213263 1716575213266 1716575213277 1716575213294 1716575213298 1716575213302
246 1716575213702 1716575213707 1716575213717 1716575213733 1716575213735 1716575213738
247 1716575214139 1716575214146 1716575214156 1716575214163 1716575214164 1716575214166
248 1716575214566 1716575214572 1716575214585 1716575214606 1716575214609 1716575214613
249 1716575215013 1716575215016 1716575215027 1716575215048 1716575215053 1716575215056
250 1716575215455 1716575215462 1716575215475 1716575215497 1716575215501 1716575215505
251 1716575215904 1716575215911 1716575215917 1716575215940 1716575215945 1716575215948
252 1716575216348 1716575216355 1716575216369 1716575216394 1716575216397 1716575216400
253 1716575216799 1716575216806 1716575216819 1716575216829 1716575216831 1716575216833
254 1716575217232 1716575217239 1716575217252 1716575217273 1716575217276 1716575217278
255 1716575217679 1716575217684 1716575217696 1716575217711 1716575217715 1716575217720
256 1716575218118 1716575218126 1716575218140 1716575218161 1716575218164 1716575218166
257 1716575218566 1716575218573 1716575218586 1716575218606 1716575218608 1716575218612
258 1716575219014 1716575219021 1716575219033 1716575219052 1716575219055 1716575219058
259 1716575219459 1716575219465 1716575219470 1716575219490 1716575219493 1716575219497
260 1716575219896 1716575219899 1716575219910 1716575219926 1716575219929 1716575219932
261 1716575220333 1716575220341 1716575220354 1716575220375 1716575220377 1716575220381
262 1716575220783 1716575220790 1716575220804 1716575220824 1716575220827 1716575220830
263 1716575221232 1716575221239 1716575221252 1716575221259 1716575221260 1716575221262
264 1716575221662 1716575221666 1716575221677 1716575221696 1716575221699 1716575221703
265 1716575222103 1716575222106 1716575222117 1716575222137 1716575222140 1716575222143
266 1716575222545 1716575222551 1716575222562 1716575222571 1716575222573 1716575222575
267 1716575222976 1716575222982 1716575222992 1716575223004 1716575223005 1716575223008
268 1716575223409 1716575223416 1716575223429 1716575223449 1716575223452 1716575223454
269 1716575223856 1716575223862 1716575223873 1716575223892 1716575223895 1716575223898
270 1716575224299 1716575224307 1716575224320 1716575224340 1716575224343 1716575224346
271 1716575224747 1716575224754 1716575224766 1716575224784 1716575224787 1716575224791
272 1716575225193 1716575225200 1716575225213 1716575225231 1716575225234 1716575225237
273 1716575225638 1716575225645 1716575225658 1716575225676 1716575225678 1716575225682
274 1716575226082 1716575226090 1716575226102 1716575226121 1716575226123 1716575226127
275 1716575226527 1716575226534 1716575226547 1716575226566 1716575226568 1716575226572
276 1716575226973 1716575226979 1716575226992 1716575227011 1716575227014 1716575227018
277 1716575227419 1716575227427 1716575227440 1716575227460 1716575227463 1716575227466
278 1716575227872 1716575227879 1716575227892 1716575227910 1716575227913 1716575227916
279 1716575228317 1716575228325 1716575228337 1716575228356 1716575228359 1716575228362
280 1716575228764 1716575228771 1716575228784 1716575228803 1716575228806 1716575228809
281 1716575229210 1716575229216 1716575229229 1716575229249 1716575229252 1716575229256
282 1716575229657 1716575229664 1716575229677 1716575229697 1716575229700 1716575229703
283 1716575230104 1716575230107 1716575230118 1716575230135 1716575230138 1716575230141
284 1716575230542 1716575230548 1716575230560 1716575230579 1716575230581 1716575230585
285 1716575230985 1716575230992 1716575230997 1716575231017 1716575231020 1716575231024
286 1716575231423 1716575231430 1716575231443 1716575231462 1716575231464 1716575231467
