RequestId SentTime ProducerRecievedTime ProducerUpdateTime EnteredKafkaTime ExitedKafkaTime ConsumerUpdateTime
2 1715949953102 1715949953106 1715949953110 1715949953131 1715949953141 1715949953148
3 1715949953362 1715949953364 1715949953376 1715949953403 1715949953406 1715949953419
4 1715949953628 1715949953635 1715949953655 1715949953692 1715949953696 1715949953708
5 1715949953910 1715949953917 1715949953932 1715949953983 1715949953996 1715949954012
6 1715949954187 1715949954191 1715949954203 1715949954229 1715949954231 1715949954239
7 1715949954455 1715949954457 1715949954468 1715949954491 1715949954500 1715949954508
8 1715949954719 1715949954722 1715949954734 1715949954781 1715949954787 1715949954796
9 1715949954988 1715949954996 1715949955014 1715949955049 1715949955059 1715949955075
10 1715949955268 1715949955278 1715949955295 1715949955319 1715949955321 1715949955329
11 1715949955548 1715949955550 1715949955560 1715949955616 1715949955623 1715949955640
12 1715949955813 1715949955819 1715949955835 1715949955889 1715949955894 1715949955913
13 1715949956089 1715949956097 1715949956114 1715949956164 1715949956180 1715949956191
14 1715949956367 1715949956373 1715949956388 1715949956418 1715949956419 1715949956429
15 1715949956641 1715949956648 1715949956666 1715949956682 1715949956690 1715949956701
16 1715949956918 1715949956923 1715949956935 1715949956957 1715949956959 1715949956972
17 1715949957186 1715949957194 1715949957204 1715949957253 1715949957261 1715949957281
18 1715949957458 1715949957460 1715949957471 1715949957490 1715949957493 1715949957502
19 1715949957722 1715949957729 1715949957747 1715949957772 1715949957783 1715949957791
20 1715949957999 1715949958008 1715949958024 1715949958052 1715949958055 1715949958069
21 1715949958278 1715949958281 1715949958292 1715949958333 1715949958338 1715949958354
22 1715949958545 1715949958551 1715949958567 1715949958585 1715949958593 1715949958599
23 1715949958820 1715949958829 1715949958846 1715949958890 1715949958893 1715949958897
24 1715949959100 1715949959106 1715949959123 1715949959158 1715949959162 1715949959181
25 1715949959376 1715949959384 1715949959400 1715949959418 1715949959420 1715949959425
26 1715949959654 1715949959660 1715949959676 1715949959692 1715949959694 1715949959700
27 1715949959928 1715949959934 1715949959950 1715949959970 1715949959982 1715949959995
28 1715949960203 1715949960205 1715949960217 1715949960234 1715949960236 1715949960246
29 1715949960468 1715949960474 1715949960490 1715949960513 1715949960522 1715949960541
30 1715949960743 1715949960751 1715949960767 1715949960793 1715949960796 1715949960812
31 1715949961020 1715949961026 1715949961043 1715949961077 1715949961089 1715949961099
32 1715949961297 1715949961301 1715949961316 1715949961350 1715949961358 1715949961369
33 1715949961569 1715949961575 1715949961583 1715949961615 1715949961623 1715949961634
34 1715949961837 1715949961843 1715949961859 1715949961894 1715949961899 1715949961909
35 1715949962112 1715949962115 1715949962126 1715949962159 1715949962170 1715949962176
36 1715949962380 1715949962387 1715949962404 1715949962444 1715949962448 1715949962467
37 1715949962658 1715949962662 1715949962677 1715949962704 1715949962708 1715949962718
38 1715949962930 1715949962937 1715949962954 1715949962994 1715949963000 1715949963011
39 1715949963208 1715949963214 1715949963230 1715949963265 1715949963274 1715949963285
40 1715949963484 1715949963488 1715949963502 1715949963528 1715949963531 1715949963539
41 1715949963756 1715949963762 1715949963777 1715949963802 1715949963806 1715949963819
42 1715949964031 1715949964038 1715949964054 1715949964077 1715949964081 1715949964089
43 1715949964309 1715949964316 1715949964332 1715949964364 1715949964375 1715949964390
44 1715949964586 1715949964593 1715949964609 1715949964642 1715949964654 1715949964669
45 1715949964863 1715949964866 1715949964877 1715949964888 1715949964889 1715949964902
46 1715949965129 1715949965135 1715949965152 1715949965185 1715949965187 1715949965197
47 1715949965406 1715949965413 1715949965430 1715949965461 1715949965465 1715949965472
48 1715949965684 1715949965691 1715949965707 1715949965737 1715949965741 1715949965754
49 1715949965961 1715949965968 1715949965984 1715949966015 1715949966017 1715949966026
50 1715949966238 1715949966245 1715949966262 1715949966291 1715949966296 1715949966311
51 1715949966516 1715949966522 1715949966539 1715949966573 1715949966575 1715949966585
52 1715949966792 1715949966798 1715949966814 1715949966847 1715949966852 1715949966871
53 1715949967068 1715949967072 1715949967084 1715949967133 1715949967136 1715949967150
54 1715949967336 1715949967339 1715949967351 1715949967363 1715949967366 1715949967379
55 1715949967602 1715949967609 1715949967625 1715949967656 1715949967660 1715949967673
56 1715949967879 1715949967882 1715949967894 1715949967931 1715949967935 1715949967944
57 1715949968148 1715949968153 1715949968161 1715949968192 1715949968196 1715949968204
58 1715949968415 1715949968421 1715949968438 1715949968474 1715949968487 1715949968497
59 1715949968692 1715949968698 1715949968707 1715949968744 1715949968748 1715949968759
60 1715949968961 1715949968963 1715949968966 1715949968983 1715949968984 1715949968997
61 1715949969217 1715949969223 1715949969235 1715949969244 1715949969250 1715949969259
62 1715949969487 1715949969494 1715949969502 1715949969533 1715949969542 1715949969555
63 1715949969756 1715949969762 1715949969778 1715949969803 1715949969811 1715949969821
64 1715949970032 1715949970036 1715949970049 1715949970065 1715949970066 1715949970076
65 1715949970302 1715949970309 1715949970326 1715949970354 1715949970358 1715949970365
66 1715949970580 1715949970587 1715949970603 1715949970637 1715949970640 1715949970649
67 1715949970856 1715949970864 1715949970880 1715949970910 1715949970916 1715949970935
68 1715949971134 1715949971141 1715949971153 1715949971184 1715949971190 1715949971205
69 1715949971407 1715949971416 1715949971425 1715949971445 1715949971459 1715949971479
70 1715949971678 1715949971685 1715949971694 1715949971720 1715949971723 1715949971732
71 1715949971948 1715949971952 1715949971957 1715949971968 1715949971972 1715949971978
72 1715949972209 1715949972211 1715949972214 1715949972220 1715949972222 1715949972226
73 1715949972465 1715949972467 1715949972470 1715949972482 1715949972485 1715949972489
74 1715949972722 1715949972724 1715949972728 1715949972745 1715949972748 1715949972761
75 1715949972979 1715949972987 1715949972995 1715949973026 1715949973034 1715949973047
76 1715949973250 1715949973257 1715949973265 1715949973291 1715949973297 1715949973311
77 1715949973519 1715949973526 1715949973535 1715949973565 1715949973576 1715949973592
78 1715949973789 1715949973797 1715949973806 1715949973838 1715949973843 1715949973858
79 1715949974059 1715949974064 1715949974071 1715949974086 1715949974095 1715949974098
80 1715949974324 1715949974330 1715949974339 1715949974372 1715949974376 1715949974392
81 1715949974593 1715949974599 1715949974610 1715949974635 1715949974639 1715949974660
82 1715949974864 1715949974871 1715949974880 1715949974909 1715949974918 1715949974927
83 1715949975134 1715949975140 1715949975148 1715949975178 1715949975181 1715949975192
84 1715949975401 1715949975408 1715949975417 1715949975441 1715949975444 1715949975456
85 1715949975671 1715949975677 1715949975687 1715949975712 1715949975715 1715949975727
86 1715949975940 1715949975947 1715949975955 1715949975977 1715949975989 1715949976004
87 1715949976209 1715949976214 1715949976222 1715949976246 1715949976249 1715949976264
88 1715949976476 1715949976482 1715949976491 1715949976519 1715949976525 1715949976536
89 1715949976745 1715949976750 1715949976758 1715949976784 1715949976794 1715949976800
90 1715949977012 1715949977018 1715949977026 1715949977054 1715949977067 1715949977084
91 1715949977280 1715949977285 1715949977293 1715949977327 1715949977329 1715949977346
92 1715949977547 1715949977553 1715949977560 1715949977587 1715949977589 1715949977605
93 1715949977814 1715949977820 1715949977828 1715949977857 1715949977863 1715949977873
94 1715949978082 1715949978088 1715949978097 1715949978121 1715949978134 1715949978144
95 1715949978351 1715949978356 1715949978365 1715949978385 1715949978387 1715949978393
96 1715949978619 1715949978625 1715949978634 1715949978663 1715949978667 1715949978677
97 1715949978889 1715949978894 1715949978902 1715949978929 1715949978932 1715949978945
98 1715949979156 1715949979164 1715949979171 1715949979198 1715949979205 1715949979214
99 1715949979425 1715949979428 1715949979432 1715949979449 1715949979452 1715949979462
100 1715949979684 1715949979691 1715949979700 1715949979733 1715949979747 1715949979759
101 1715949979954 1715949979961 1715949979970 1715949979997 1715949980000 1715949980015
102 1715949980224 1715949980233 1715949980242 1715949980256 1715949980258 1715949980265
103 1715949980495 1715949980503 1715949980511 1715949980535 1715949980539 1715949980547
104 1715949980765 1715949980771 1715949980780 1715949980808 1715949980814 1715949980825
105 1715949981034 1715949981040 1715949981048 1715949981076 1715949981089 1715949981101
106 1715949981302 1715949981306 1715949981312 1715949981335 1715949981338 1715949981346
107 1715949981564 1715949981566 1715949981570 1715949981582 1715949981583 1715949981594
108 1715949981821 1715949981827 1715949981836 1715949981857 1715949981858 1715949981866
109 1715949982089 1715949982095 1715949982104 1715949982136 1715949982140 1715949982146
110 1715949982358 1715949982361 1715949982366 1715949982386 1715949982388 1715949982394
111 1715949982618 1715949982625 1715949982634 1715949982658 1715949982662 1715949982671
112 1715949982887 1715949982889 1715949982893 1715949982902 1715949982911 1715949982915
113 1715949983144 1715949983150 1715949983159 1715949983182 1715949983186 1715949983200
114 1715949983412 1715949983418 1715949983427 1715949983451 1715949983457 1715949983470
115 1715949983680 1715949983687 1715949983695 1715949983726 1715949983732 1715949983736
116 1715949983948 1715949983950 1715949983953 1715949983962 1715949983964 1715949983976
117 1715949984204 1715949984211 1715949984219 1715949984245 1715949984253 1715949984263
118 1715949984473 1715949984484 1715949984492 1715949984514 1715949984516 1715949984528
119 1715949984746 1715949984754 1715949984760 1715949984771 1715949984781 1715949984784
120 1715949985012 1715949985019 1715949985027 1715949985047 1715949985050 1715949985065
121 1715949985280 1715949985283 1715949985287 1715949985304 1715949985305 1715949985309
122 1715949985538 1715949985545 1715949985553 1715949985581 1715949985583 1715949985598
123 1715949985806 1715949985813 1715949985821 1715949985852 1715949985857 1715949985871
124 1715949986075 1715949986081 1715949986088 1715949986114 1715949986117 1715949986129
125 1715949986341 1715949986343 1715949986346 1715949986359 1715949986363 1715949986375
126 1715949986597 1715949986603 1715949986611 1715949986636 1715949986642 1715949986655
127 1715949986864 1715949986871 1715949986878 1715949986902 1715949986904 1715949986914
128 1715949987133 1715949987138 1715949987146 1715949987169 1715949987179 1715949987188
129 1715949987399 1715949987405 1715949987412 1715949987437 1715949987441 1715949987455
130 1715949987665 1715949987671 1715949987680 1715949987706 1715949987714 1715949987727
131 1715949987933 1715949987940 1715949987948 1715949987969 1715949987972 1715949987980
132 1715949988201 1715949988209 1715949988217 1715949988250 1715949988253 1715949988268
133 1715949988471 1715949988478 1715949988486 1715949988512 1715949988516 1715949988522
134 1715949988740 1715949988745 1715949988753 1715949988773 1715949988785 1715949988801
135 1715949989006 1715949989013 1715949989021 1715949989050 1715949989058 1715949989074
136 1715949989275 1715949989282 1715949989291 1715949989319 1715949989322 1715949989340
137 1715949989545 1715949989551 1715949989558 1715949989578 1715949989581 1715949989591
138 1715949989811 1715949989818 1715949989827 1715949989853 1715949989857 1715949989866
139 1715949990081 1715949990087 1715949990096 1715949990126 1715949990131 1715949990145
140 1715949990349 1715949990356 1715949990364 1715949990391 1715949990403 1715949990411
141 1715949990617 1715949990623 1715949990632 1715949990654 1715949990658 1715949990668
142 1715949990886 1715949990892 1715949990908 1715949990931 1715949990936 1715949990950
143 1715949991163 1715949991169 1715949991177 1715949991202 1715949991216 1715949991232
144 1715949991431 1715949991438 1715949991447 1715949991470 1715949991474 1715949991485
145 1715949991700 1715949991707 1715949991716 1715949991747 1715949991750 1715949991763
146 1715949991970 1715949991976 1715949991984 1715949992007 1715949992009 1715949992027
147 1715949992237 1715949992243 1715949992251 1715949992279 1715949992284 1715949992299
148 1715949992504 1715949992506 1715949992509 1715949992524 1715949992527 1715949992536
149 1715949992760 1715949992763 1715949992766 1715949992784 1715949992792 1715949992801
150 1715949993018 1715949993023 1715949993030 1715949993052 1715949993065 1715949993085
151 1715949993285 1715949993291 1715949993299 1715949993321 1715949993323 1715949993338
152 1715949993552 1715949993559 1715949993567 1715949993596 1715949993599 1715949993616
153 1715949993821 1715949993827 1715949993836 1715949993860 1715949993861 1715949993867
154 1715949994090 1715949994092 1715949994095 1715949994110 1715949994111 1715949994118
155 1715949994346 1715949994353 1715949994361 1715949994380 1715949994384 1715949994399
156 1715949994614 1715949994621 1715949994629 1715949994654 1715949994658 1715949994669
157 1715949994882 1715949994889 1715949994897 1715949994928 1715949994931 1715949994946
158 1715949995150 1715949995156 1715949995163 1715949995183 1715949995186 1715949995196
159 1715949995416 1715949995422 1715949995429 1715949995453 1715949995456 1715949995469
160 1715949995683 1715949995690 1715949995697 1715949995717 1715949995728 1715949995736
161 1715949995951 1715949995958 1715949995966 1715949995994 1715949996003 1715949996016
162 1715949996219 1715949996225 1715949996233 1715949996260 1715949996263 1715949996278
163 1715949996486 1715949996489 1715949996493 1715949996513 1715949996516 1715949996526
164 1715949996745 1715949996747 1715949996751 1715949996779 1715949996790 1715949996800
165 1715949997002 1715949997008 1715949997016 1715949997034 1715949997043 1715949997051
166 1715949997270 1715949997276 1715949997284 1715949997302 1715949997316 1715949997324
167 1715949997537 1715949997544 1715949997551 1715949997572 1715949997575 1715949997593
168 1715949997804 1715949997811 1715949997818 1715949997842 1715949997845 1715949997859
169 1715949998072 1715949998075 1715949998078 1715949998089 1715949998098 1715949998104
170 1715949998331 1715949998337 1715949998345 1715949998369 1715949998370 1715949998376
171 1715949998599 1715949998605 1715949998613 1715949998642 1715949998646 1715949998653
172 1715949998866 1715949998872 1715949998881 1715949998911 1715949998916 1715949998925
173 1715949999134 1715949999140 1715949999148 1715949999179 1715949999188 1715949999196
174 1715949999401 1715949999408 1715949999416 1715949999443 1715949999446 1715949999461
175 1715949999670 1715949999675 1715949999683 1715949999710 1715949999719 1715949999731
176 1715949999936 1715949999943 1715949999951 1715949999972 1715949999974 1715949999979
177 1715950000204 1715950000211 1715950000219 1715950000237 1715950000241 1715950000258
178 1715950000472 1715950000478 1715950000485 1715950000516 1715950000519 1715950000531
179 1715950000738 1715950000744 1715950000751 1715950000771 1715950000774 1715950000786
180 1715950001005 1715950001011 1715950001018 1715950001045 1715950001049 1715950001065
181 1715950001271 1715950001273 1715950001276 1715950001283 1715950001284 1715950001298
182 1715950001528 1715950001533 1715950001541 1715950001566 1715950001572 1715950001587
183 1715950001794 1715950001799 1715950001806 1715950001834 1715950001844 1715950001857
184 1715950002059 1715950002062 1715950002064 1715950002076 1715950002077 1715950002091
185 1715950002315 1715950002322 1715950002331 1715950002358 1715950002366 1715950002378
186 1715950002584 1715950002590 1715950002597 1715950002624 1715950002638 1715950002644
187 1715950002850 1715950002856 1715950002863 1715950002890 1715950002893 1715950002900
188 1715950003117 1715950003123 1715950003131 1715950003157 1715950003166 1715950003174
