RequestId SentTime ProducerRecievedTime ProducerUpdateTime EnteredKafkaTime ExitedKafkaTime ConsumerUpdateTime
0 1715950964171 1715950964198 1715950964216 1715950964616 1715950964624 1715950964649
1 1715950964987 1715950964999 1715950965019 1715950965057 1715950965059 1715950965063
2 1715950965414 1715950965423 1715950965438 1715950965476 1715950965478 1715950965482
3 1715950965833 1715950965841 1715950965856 1715950965894 1715950965896 1715950965900
4 1715950966250 1715950966257 1715950966269 1715950966298 1715950966302 1715950966305
5 1715950966654 1715950966665 1715950966682 1715950966721 1715950966724 1715950966728
6 1715950967076 1715950967083 1715950967097 1715950967142 1715950967148 1715950967151
7 1715950967501 1715950967509 1715950967524 1715950967567 1715950967569 1715950967573
8 1715950967922 1715950967930 1715950967944 1715950967979 1715950967982 1715950967984
9 1715950968333 1715950968338 1715950968349 1715950968364 1715950968368 1715950968370
10 1715950968719 1715950968727 1715950968740 1715950968766 1715950968768 1715950968770
11 1715950969120 1715950969127 1715950969134 1715950969158 1715950969160 1715950969163
12 1715950969512 1715950969519 1715950969525 1715950969548 1715950969550 1715950969553
13 1715950969902 1715950969910 1715950969916 1715950969956 1715950969959 1715950969961
14 1715950970310 1715950970312 1715950970323 1715950970338 1715950970342 1715950970344
15 1715950970691 1715950970700 1715950970714 1715950970741 1715950970744 1715950970747
16 1715950971095 1715950971103 1715950971114 1715950971128 1715950971130 1715950971131
17 1715950971481 1715950971488 1715950971501 1715950971537 1715950971540 1715950971543
18 1715950971891 1715950971898 1715950971912 1715950971945 1715950971950 1715950971953
19 1715950972303 1715950972311 1715950972324 1715950972360 1715950972365 1715950972372
20 1715950972721 1715950972728 1715950972742 1715950972779 1715950972784 1715950972788
21 1715950973137 1715950973145 1715950973159 1715950973190 1715950973194 1715950973197
22 1715950973546 1715950973554 1715950973567 1715950973604 1715950973608 1715950973611
23 1715950973962 1715950973969 1715950973983 1715950974021 1715950974027 1715950974032
24 1715950974380 1715950974386 1715950974397 1715950974422 1715950974426 1715950974429
25 1715950974779 1715950974786 1715950974800 1715950974830 1715950974833 1715950974837
26 1715950975187 1715950975194 1715950975206 1715950975219 1715950975221 1715950975223
27 1715950975572 1715950975578 1715950975589 1715950975605 1715950975607 1715950975610
28 1715950975961 1715950975968 1715950975981 1715950976013 1715950976018 1715950976023
29 1715950976372 1715950976378 1715950976391 1715950976422 1715950976425 1715950976427
30 1715950976778 1715950976785 1715950976798 1715950976826 1715950976830 1715950976836
31 1715950977184 1715950977191 1715950977204 1715950977235 1715950977240 1715950977244
32 1715950977592 1715950977599 1715950977613 1715950977641 1715950977646 1715950977650
33 1715950977999 1715950978003 1715950978015 1715950978053 1715950978058 1715950978061
34 1715950978411 1715950978418 1715950978431 1715950978462 1715950978467 1715950978471
35 1715950978820 1715950978826 1715950978839 1715950978853 1715950978855 1715950978858
36 1715950979207 1715950979215 1715950979228 1715950979255 1715950979258 1715950979262
37 1715950979613 1715950979620 1715950979633 1715950979661 1715950979666 1715950979669
38 1715950980018 1715950980022 1715950980034 1715950980061 1715950980065 1715950980068
39 1715950980420 1715950980426 1715950980439 1715950980468 1715950980473 1715950980478
40 1715950980826 1715950980833 1715950980847 1715950980875 1715950980878 1715950980882
41 1715950981234 1715950981240 1715950981254 1715950981271 1715950981276 1715950981280
42 1715950981628 1715950981635 1715950981648 1715950981660 1715950981662 1715950981664
43 1715950982013 1715950982019 1715950982031 1715950982056 1715950982060 1715950982065
44 1715950982415 1715950982419 1715950982431 1715950982464 1715950982467 1715950982471
45 1715950982822 1715950982830 1715950982843 1715950982874 1715950982878 1715950982883
46 1715950983234 1715950983238 1715950983250 1715950983278 1715950983281 1715950983286
47 1715950983637 1715950983643 1715950983656 1715950983683 1715950983688 1715950983693
48 1715950984041 1715950984045 1715950984056 1715950984064 1715950984065 1715950984067
49 1715950984418 1715950984426 1715950984438 1715950984451 1715950984453 1715950984455
50 1715950984805 1715950984813 1715950984827 1715950984851 1715950984855 1715950984859
51 1715950985208 1715950985211 1715950985214 1715950985226 1715950985227 1715950985229
52 1715950985580 1715950985587 1715950985600 1715950985615 1715950985617 1715950985619
53 1715950985968 1715950985971 1715950985973 1715950985982 1715950985983 1715950985984
54 1715950986335 1715950986342 1715950986354 1715950986379 1715950986384 1715950986388
55 1715950986736 1715950986743 1715950986756 1715950986771 1715950986773 1715950986775
56 1715950987125 1715950987132 1715950987144 1715950987168 1715950987174 1715950987178
57 1715950987524 1715950987531 1715950987544 1715950987568 1715950987573 1715950987577
58 1715950987926 1715950987931 1715950987943 1715950987957 1715950987958 1715950987959
59 1715950988309 1715950988315 1715950988326 1715950988340 1715950988342 1715950988346
60 1715950988695 1715950988701 1715950988714 1715950988736 1715950988741 1715950988745
